"Geographic code","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Geographic code, Census division","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"12140001","Nova Scotia","Nouvelle-Écosse",12,1214,12642,F,6818,5421,932.98,13.6
"12140002","Nova Scotia","Nouvelle-Écosse",12,1214,6306,F,2890,2577,522.30,12.1
"12140003","Nova Scotia","Nouvelle-Écosse",12,1214,353,F,134,131,2.71,130.0
"12150001","Nova Scotia","Nouvelle-Écosse",12,1215,5076,F,3255,2300,2030.39,2.5
"12150002","Nova Scotia","Nouvelle-Écosse",12,1215,4928,F,2775,2058,752.02,6.6
"12150003","Nova Scotia","Nouvelle-Écosse",12,1215,6400,F,3576,2727,1041.29,6.1
"12150004","Nova Scotia","Nouvelle-Écosse",12,1215,831,F,270,266,7.48,111.1
"12160001","Nova Scotia","Nouvelle-Écosse",12,1216,8458,F,4955,3822,1243.72,6.8
"12160002","Nova Scotia","Nouvelle-Écosse",12,1216,506,F,167,161,5.62,90.1
"12170013","Nova Scotia","Nouvelle-Écosse",12,1217,1015,F,349,343,1.48,686.1
"12170014","Nova Scotia","Nouvelle-Écosse",12,1217,3422,F,1114,1059,36.20,94.5
"12170015","Nova Scotia","Nouvelle-Écosse",12,1217,6277,F,2923,2752,11.71,535.9
"12170016","Nova Scotia","Nouvelle-Écosse",12,1217,5896,F,2722,2590,8.60,685.4
"12170017","Nova Scotia","Nouvelle-Écosse",12,1217,5452,F,2496,2332,128.19,42.5
"12170018","Nova Scotia","Nouvelle-Écosse",12,1217,2167,F,1248,945,334.34,6.5
"12170019","Nova Scotia","Nouvelle-Écosse",12,1217,4612,F,2136,1984,11.25,410.1
"12170020","Nova Scotia","Nouvelle-Écosse",12,1217,4992,F,2409,2306,4.36,1144.7
"12170021","Nova Scotia","Nouvelle-Écosse",12,1217,5180,F,3001,2614,4.99,1038.1
"12170022","Nova Scotia","Nouvelle-Écosse",12,1217,3910,F,1974,1824,3.46,1131.1
"12170023","Nova Scotia","Nouvelle-Écosse",12,1217,5717,F,2766,2602,7.66,746.3
"12170024","Nova Scotia","Nouvelle-Écosse",12,1217,4602,F,2103,1976,6.87,669.8
"12170025","Nova Scotia","Nouvelle-Écosse",12,1217,4969,F,2482,2330,10.23,485.6
"12170026","Nova Scotia","Nouvelle-Écosse",12,1217,1935,F,923,867,6.29,307.8
"12170027","Nova Scotia","Nouvelle-Écosse",12,1217,5132,F,2406,2215,6.04,849.3
"12170028","Nova Scotia","Nouvelle-Écosse",12,1217,5272,F,2297,2215,49.96,105.5
"12170029","Nova Scotia","Nouvelle-Écosse",12,1217,4679,F,1837,1783,17.83,262.4
"12170030","Nova Scotia","Nouvelle-Écosse",12,1217,3822,F,2000,1785,2.51,1520.6
"12170031","Nova Scotia","Nouvelle-Écosse",12,1217,4182,F,2044,1758,401.99,10.4
"12170032","Nova Scotia","Nouvelle-Écosse",12,1217,5350,F,3086,2362,1018.63,5.3
"12170033","Nova Scotia","Nouvelle-Écosse",12,1217,5078,F,2589,2242,303.55,16.7
"12170034","Nova Scotia","Nouvelle-Écosse",12,1217,5061,F,2300,2197,91.60,55.3
"12180001","Nova Scotia","Nouvelle-Écosse",12,1218,6552,F,4271,2943,2854.01,2.3
"12180002","Nova Scotia","Nouvelle-Écosse",12,1218,537,F,166,158,3.73,144.1
"13010001","New Brunswick","Nouveau-Brunswick",13,1301,1408,F,807,620,631.55,2.2
"13010002","New Brunswick","Nouveau-Brunswick",13,1301,3843,F,1617,1516,280.86,13.7
"13010012","New Brunswick","Nouveau-Brunswick",13,1301,1194,F,600,508,235.33,5.1
"13010013","New Brunswick","Nouveau-Brunswick",13,1301,8778,F,3954,3631,37.55,233.8
"13010014","New Brunswick","Nouveau-Brunswick",13,1301,9101,F,3782,3607,128.51,70.8
"13010015","New Brunswick","Nouveau-Brunswick",13,1301,10584,F,5864,5007,7.93,1334.8
"13010016","New Brunswick","Nouveau-Brunswick",13,1301,12852,F,6268,5719,19.68,653.1
"13010017","New Brunswick","Nouveau-Brunswick",13,1301,7552,F,5193,4204,2.36,3205.2
"13010018","New Brunswick","Nouveau-Brunswick",13,1301,4678,F,2374,2021,3.24,1441.9
"13010019","New Brunswick","Nouveau-Brunswick",13,1301,6750,F,3197,3002,7.42,909.3
"13010020","New Brunswick","Nouveau-Brunswick",13,1301,7280,F,3169,3017,109.27,66.6
"13020001","New Brunswick","Nouveau-Brunswick",13,1302,5632,F,2965,2473,1023.93,5.5
"13020002","New Brunswick","Nouveau-Brunswick",13,1302,9547,F,5446,4161,1317.04,7.2
"13020003","New Brunswick","Nouveau-Brunswick",13,1302,707,F,507,335,209.62,3.4
"13020004","New Brunswick","Nouveau-Brunswick",13,1302,9542,F,4595,4163,876.38,10.9
"13030001","New Brunswick","Nouveau-Brunswick",13,1303,8071,F,3565,3233,1200.63,6.7
"13030002","New Brunswick","Nouveau-Brunswick",13,1303,1831,F,765,731,921.96,2.0
"13030003","New Brunswick","Nouveau-Brunswick",13,1303,7177,F,3019,2936,159.59,45.0
"13030004","New Brunswick","Nouveau-Brunswick",13,1303,9223,F,3900,3459,22.44,410.9
"13030005","New Brunswick","Nouveau-Brunswick",13,1303,282,F,103,100,0.31,911.1
"13030006","New Brunswick","Nouveau-Brunswick",13,1303,1060,F,501,439,391.58,2.7
"13040001","New Brunswick","Nouveau-Brunswick",13,1304,9791,F,6964,4583,3095.91,3.2
"13040002","New Brunswick","Nouveau-Brunswick",13,1304,681,F,325,294,590.14,1.2
"13050001","New Brunswick","Nouveau-Brunswick",13,1305,8493,F,3964,3489,1455.36,5.8
"13050002","New Brunswick","Nouveau-Brunswick",13,1305,9654,F,4865,4147,782.70,12.3
"13050003","New Brunswick","Nouveau-Brunswick",13,1305,2570,F,1115,1033,333.99,7.7
"13050004","New Brunswick","Nouveau-Brunswick",13,1305,2913,F,1671,1227,200.69,14.5
"13050005","New Brunswick","Nouveau-Brunswick",13,1305,7098,F,2866,2728,142.35,49.9
"13050006","New Brunswick","Nouveau-Brunswick",13,1305,1058,F,560,449,114.46,9.2
"13050007","New Brunswick","Nouveau-Brunswick",13,1305,10149,F,3824,3719,46.63,217.6
"13050008","New Brunswick","Nouveau-Brunswick",13,1305,8096,F,2772,2736,10.58,765.1
"13050009","New Brunswick","Nouveau-Brunswick",13,1305,325,F,136,119,7.26,44.8
"13050010","New Brunswick","Nouveau-Brunswick",13,1305,11659,F,4816,4636,34.72,335.8
"13050011","New Brunswick","Nouveau-Brunswick",13,1305,1962,F,952,811,295.70,6.6
"13050012","New Brunswick","Nouveau-Brunswick",13,1305,4964,F,2029,1933,59.78,83.0
"13060001","New Brunswick","Nouveau-Brunswick",13,1306,8999,F,3763,3641,14.12,637.4
"13060002","New Brunswick","Nouveau-Brunswick",13,1306,7698,F,3358,3172,702.00,11.0
"13060003","New Brunswick","Nouveau-Brunswick",13,1306,10668,F,4774,4583,21.33,500.1
"13060004","New Brunswick","Nouveau-Brunswick",13,1306,901,F,621,405,550.84,1.6
"13060005","New Brunswick","Nouveau-Brunswick",13,1306,892,F,595,418,519.59,1.7
"13070001","New Brunswick","Nouveau-Brunswick",13,1307,9588,F,5888,4127,702.32,13.7
"13070002","New Brunswick","Nouveau-Brunswick",13,1307,6376,F,3388,2679,291.08,21.9
"13070003","New Brunswick","Nouveau-Brunswick",13,1307,6664,F,3141,2895,53.95,123.5
"13070004","New Brunswick","Nouveau-Brunswick",13,1307,6513,F,3563,2808,654.15,10.0
"13070005","New Brunswick","Nouveau-Brunswick",13,1307,6661,F,2794,2675,340.38,19.6
"13070006","New Brunswick","Nouveau-Brunswick",13,1307,9328,F,4042,3892,61.92,150.6
"13070007","New Brunswick","Nouveau-Brunswick",13,1307,6303,F,2569,2366,283.59,22.2
"13070008","New Brunswick","Nouveau-Brunswick",13,1307,5434,F,2216,2131,252.79,21.5
"13070009","New Brunswick","Nouveau-Brunswick",13,1307,10885,F,4343,4177,36.69,296.7
"13070010","New Brunswick","Nouveau-Brunswick",13,1307,4771,F,2049,1913,891.37,5.4
"13070011","New Brunswick","Nouveau-Brunswick",13,1307,10031,F,4759,4343,14.26,703.6
