cause_of_death,date,Date-month,Year ,dead,missing,dead_and_missing,location,latitude,longitude,,
unknown,2008-01-08T00:00:00Z,2008 -- 1,2008,0,0,4,vega,28.009757,-15.53205,,
shot by the police,2000-01-12T00:00:00Z,2000 -- 1,2000,0,0,1,vega,28.009757,-15.53205,,
unknown,2003-04-09T00:00:00Z,2003 -- 4,2003,0,0,2,"Bahia Feliz, Spain",27.78085,-15.520694,,
drowned,2004-05-16T00:00:00Z,2004 -- 5,2004,0,0,5,"Las Palmas, Spain",28.113155,-15.440883,,
unknown,2000-07-26T00:00:00Z,2000 -- 7,2000,0,0,1,arinaga,27.858484,-15.394362,,
drowned,2007-09-10T00:00:00Z,2007 -- 9,2007,0,0,58,gambia,13.443182,-15.310139,,
drowned,2015-12-07T00:00:00Z,2015 -- 12,2015,11,0,11,147 kilometers south of Cape Bojador,26.7,-15,,
unknown,2007-04-22T00:00:00Z,2007 -- 4,2007,0,0,132,kolda,12.89952,-14.94427,,
drowned,2007-04-22T00:00:00Z,2007 -- 4,2007,0,0,28,kolda,12.89952,-14.94427,,
unknown,2007-10-21T00:00:00Z,2007 -- 10,2007,0,0,150,kolda,12.89952,-14.94427,,
unknown,2007-05-30T00:00:00Z,2007 -- 5,2007,0,0,8,boujdour,26.133333,-14.466667,,
natural causes,2000-07-12T00:00:00Z,2000 -- 7,2000,0,0,13,bojador,26.133333,-14.466667,,
drowned,2000-07-12T00:00:00Z,2000 -- 7,2000,0,0,1,bojador,26.133333,-14.466667,,
unknown,2009-09-30T00:00:00Z,2009 -- 9,2009,0,0,4,senegal,14.497401,-14.452362,,
drowned,2007-07-10T00:00:00Z,2007 -- 7,2007,0,0,52,senegal,14.497401,-14.452362,,
drowned,2007-05-21T00:00:00Z,2007 -- 5,2007,0,0,3,senegal,14.497401,-14.452362,,
unknown,2007-05-21T00:00:00Z,2007 -- 5,2007,0,0,3,Senegal,14.497401,-14.452362,,
unknown,2007-02-11T00:00:00Z,2007 -- 2,2007,0,0,40,senegal,14.497401,-14.452362,,
unknown,2007-10-23T00:00:00Z,2007 -- 10,2007,0,0,57,senegal,14.497401,-14.452362,,
unknown,2006-07-27T00:00:00Z,2006 -- 7,2006,0,0,34,senegal,14.497401,-14.452362,,
unknown,2006-05-29T00:00:00Z,2006 -- 5,2006,0,0,7,senegal,14.497401,-14.452362,,
unknown,2008-04-20T00:00:00Z,2008 -- 4,2008,0,0,2,fuerteventura,28.358744,-14.053676,,
unknown,2007-08-18T00:00:00Z,2007 -- 8,2007,0,0,13,fuerteventura,28.358744,-14.053676,,
unknown,2006-07-17T00:00:00Z,2006 -- 7,2006,0,0,1,fuerteventura,28.358744,-14.053676,,
drowned,2005-04-30T00:00:00Z,2005 -- 4,2005,0,0,1,fuerteventura,28.358744,-14.053676,,
drowned,2005-01-09T00:00:00Z,2005 -- 1,2005,0,0,17,fuerteventura,28.358744,-14.053676,,
hit by a car,2005-01-05T00:00:00Z,2005 -- 1,2005,0,0,1,fuerteventura,28.358744,-14.053676,,
unknown,2004-09-29T00:00:00Z,2004 -- 9,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
unknown,2004-09-08T00:00:00Z,2004 -- 9,2004,0,0,5,fuerteventura,28.358744,-14.053676,,
unknown,2004-09-08T00:00:00Z,2004 -- 9,2004,0,0,8,fuerteventura,28.358744,-14.053676,,
unknown,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,3,fuerteventura,28.358744,-14.053676,,
drowned,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
drowned,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
drowned,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,4,fuerteventura,28.358744,-14.053676,,
unknown,2004-08-12T00:00:00Z,2004 -- 8,2004,0,0,32,fuerteventura,28.358744,-14.053676,,
unknown,2004-08-12T00:00:00Z,2004 -- 8,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
shot by the police,2004-04-22T00:00:00Z,2004 -- 4,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
hit by a train,2004-04-16T00:00:00Z,2004 -- 4,2004,0,0,15,fuerteventura,28.358744,-14.053676,,
drowned,2004-04-16T00:00:00Z,2004 -- 4,2004,0,0,14,fuertaventura,28.358744,-14.053676,,
hit by a car,2004-04-16T00:00:00Z,2004 -- 4,2004,0,0,1,fuertaventura,28.358744,-14.053676,,
unknown,2004-04-16T00:00:00Z,2004 -- 4,2004,0,0,1,fuertaventura,28.358744,-14.053676,,
drowned,2004-04-11T00:00:00Z,2004 -- 4,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
drowned,2004-12-22T00:00:00Z,2004 -- 12,2004,0,0,13,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-22T00:00:00Z,2004 -- 12,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
police violence,2004-12-22T00:00:00Z,2004 -- 12,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-21T00:00:00Z,2004 -- 12,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
car accident,2004-12-20T00:00:00Z,2004 -- 12,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-20T00:00:00Z,2004 -- 12,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-17T00:00:00Z,2004 -- 12,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
burned,2004-12-16T00:00:00Z,2004 -- 12,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-10T00:00:00Z,2004 -- 12,2004,0,0,5,fuerteventura,28.358744,-14.053676,,
unknown,2004-12-10T00:00:00Z,2004 -- 12,2004,0,0,2,fuerteventura,28.358744,-14.053676,,
crushed by a wooden pallet in a truck,2004-12-02T00:00:00Z,2004 -- 12,2004,0,0,4,fuerteventura,28.358744,-14.053676,,
unknown,2004-11-27T00:00:00Z,2004 -- 11,2004,0,0,14,fuerteventura,28.358744,-14.053676,,
drowned,2004-01-20T00:00:00Z,2004 -- 1,2004,0,0,1,fuerteventura,28.358744,-14.053676,,
hit by a train,2004-01-17T00:00:00Z,2004 -- 1,2004,0,0,3,fuerteventura,28.358744,-14.053676,,
intoxicated,2004-01-15T00:00:00Z,2004 -- 1,2004,0,0,3,fuerteventura,28.358744,-14.053676,,
unknown,2004-01-15T00:00:00Z,2004 -- 1,2004,0,0,16,fuerteventura,28.358744,-14.053676,,
unknown,2003-09-07T00:00:00Z,2003 -- 9,2003,0,0,1,fuerteventura,28.358744,-14.053676,,
unknown,2003-07-31T00:00:00Z,2003 -- 7,2003,0,0,10,fuerteventura,28.358744,-14.053676,,
drowned,2003-07-30T00:00:00Z,2003 -- 7,2003,0,0,15,fuerteventura,28.358744,-14.053676,,
unknown,2003-07-27T00:00:00Z,2003 -- 7,2003,0,0,1,fuerteventura,28.358744,-14.053676,,
unknown,2003-07-24T00:00:00Z,2003 -- 7,2003,0,0,1,fuerteventura,28.358744,-14.053676,,
